序号,正文,情感属性,情感分值
35,回复@黑夜中独自前行的远行者:鼠目寸光   玩泥巴去吧//回复@诸葛大司马:那是为了谁呢？？难道你希望我们的经济倒退？希望我们给美帝跪下？希望我们被遏制，被封锁？,负面,0.114287044
36,回复@陈世鹏Love:你是老爷，大老爷[笑而不语]//回复@淡定必须再淡定:谁是老爷[阴险],中性,0.498333696
37,加油了，我的国,正面,0.995887025
38,回复@阿兰198810:自己去查，全世界好多动荡都和他有关。//回复@星醒27:呵呵呵，他在中国没做坏事吧,负面,0.049469351
39,回复@淡定必须再淡定:谁是老爷[阴险]//回复@再放四个我就是狗:税收少了，老爷们不舒服,负面,0.236704241
40,回复@平淡创造不平凡:为了我的利益吗 哈哈哈哈//排除成见，一致对外，支持国家!因为关系到普通老百姓每个人的利益!,中性,0.709167778
41,回复@阿村苦逼机械狗:我朋友现在在那边，他老婆在家照顾即将高考的儿字，高考完一家人都过去，老是问我考不考虑，说在那边有技术，又勤快，在那边好过日子，因为本地人福利好，特懒。//回复@立达淡定:local,中性,0.487840989
42,老不死了特朗普,负面,0.045938482
43,回复@推特治国第一人:这是一场没有胜算的战争！结果有可能是我们退一大步，美国退一小步，也有可能美国一步都不退！//听一听胡总编的理性分析,中性,0.498658388
44,回复@立达淡定:local//回复@阿村苦逼机械狗:交换生？,中性,0.499983513
45,老胡，看看你的赞就知道人民的支持那一边了,中性,0.501868707
46,回复@莲萌张旭峰:每天//明天都准时收听,中性,0.500268691
47,回复@蝌蚪有尾巴:呵呵，没事调侃下，不必生气，也不会在意。谢谢。//回复@立达淡定:你不用搭理那个黄浦江死猪，那畜生是个喷子，从16年就在喷。不知道哪个大学的自费生，跑这来装名校生。用国内收入水平消费国外通信，然后他说贵。那畜生咋不说国外进口车比国内价格低呢。因为他眼光就那么远。,负面,0.000387017
48,中国是最大的消费市场，但是也要警惕资本外逃，还有就是各种国外的品牌工厂都在国内，这也是国内解决就业的一块，这些因素都要考虑在内。,中性,0.500272585
49,回复@沙漠Chen:加入世贸组织时的承诺//吹吧胡哥！规规矩矩的遵守大家约定好了的游戏规则才是维一出路[嘻嘻],中性,0.50049519
50,明天都准时收听,中性,0.50020674
51,支持中国品牌全面发展，中国应该强硬了！,正面,0.960471429
52,回复@沙漠Chen:胡哥吹牛逼还行。//吹吧胡哥！规规矩矩的遵守大家约定好了的游戏规则才是维一出路[嘻嘻],中性,0.500076474
53,中国一定要挺过去！！！！！！！！！！！！！！！！！！！！！！还有取消广场舞，太扰民了，警察也不管！！！！！,负面,0.003059095
54,增加美国花旗参税对美国种植户影响不了的[给力]美加州气候条件优厚种的参甘苦醇效果顶级 加拿大参跟国内参口感辣苦没啥效果（美国芯片跟国内芯片质量对比一样）增15%税 需求的人还会买美国参[给力]希望商务部多了解美国花旗参效果 别用商务部数据来去制裁一种产品，应制裁美国其它产品才对！[给力],中性,0.499962787
55,… 增加美国花旗参税对美国种植户影响不了的[给力]美加州气候条件优厚种的参甘苦醇效果顶级 加拿大参跟国内参口感辣苦没啥效果（美国芯片跟国内芯片质量对比一样）增15%税 需求的人还会买美国参[给力]希望商务部多了解美国花旗参效果 别用商务部数据来去制裁一种产品，应制裁美国其它产品才对！[给力],中性,0.499984952
56,回复@再放四个我就是狗:税收少了，老爷们不舒服//我觉得吧，如果按照wto的规定，20万就可以买40万的奔驰了，再用省下来的20万支援房地产，不好吗？,中性,0.492378815
57,胡编不用苹果了就有希望了。,中性,0.498336905
58,黄豆要涨价，粮油要涨价,中性,0.495728786
59,老胡啊，少说为妙。你没看见，特朗普是个言出必行的货，上台到现在所有的承诺看似不可能的事都做到了，对中他早有算计，钢铝制裁为啥在两会期间就干了？特使刘鹤紧急拜见都没作用，台湾旅行法是底限，结果老裤衩都给扒拉，美联储加息25个点也趁机来了，关税制裁还怕你吗？,负面,0.062488785
60,回复@立达淡定:你不用搭理那个黄浦江死猪，那畜生是个喷子，从16年就在喷。不知道哪个大学的自费生，跑这来装名校生。用国内收入水平消费国外通信，然后他说贵。那畜生咋不说国外进口车比国内价格低呢。因为他眼光就那么远。//回复@阿村苦逼机械狗:交换生？,负面,0.000528129
61,回复@桃子peachchch:人家说反话你都看不懂！//回复@云裳花容露华浓:你是智障吗？iPhone工厂在富士康在中国知道不？是made in CHina知道不？砸手机个锤子,负面,0.071447681
62,中国从来都是不挑事也不怕事。我们谁也不怕。坚定的站在祖国一边，跟着中国领导核心走。,正面,0.996706941
63,回复@社会主义接班人王小明:是你不懂幽默，人家说的是反话//回复@云裳花容露华浓:诶，能说出这样的话，你大概是个蛆吧,负面,0.004238023
64,回复@平淡创造不平凡:国家除了人民利益还有谁的利益[哈哈]智商//排除成见，一致对外，支持国家!因为关系到普通老百姓每个人的利益!,中性,0.444509754
65,回复@GuangzhouChampion:把美国客机也征上高税。//不遵守WTO入世承诺，搞得就是你,负面,0.002797538
66,回复@陆大大Ol:太强大了，奶粉都抢到外国去了，精英都去拯救美帝了，//回复@基洛夫轰炸你:活在新闻联播里的是你才对,中性,0.500026976
67,回复@阿村苦逼机械狗:交换生？//回复@立达淡定:你不在国外我在国外啊，国外什么鸟样我不知道啊?搞笑,中性,0.431483104
68,历史留名的都是打破常理的搅局者，特朗普掀开了这一页,中性,0.499500045
69,回复@槐树91:这么热情，我也凑热闹，//大批美狗正排队赶来。,中性,0.503497913
70,[good],中性,0.518302083
71,我们有信心打倒美帝,中性,0.391189434
72,这就是失信的代价，不受待见是有原因的,中性,0.291241801
73,开放评论，凸显自信！,中性,0.558494441
74,回复@打倒股市黑嘴:你就是个自私自利的人//回复@最爱猪蕾蕾:别把国家与人民混淆,负面,0.000758438
75,开放大跃进，全球一家亲，多好。自私的美国真不是个东西！[酷],负面,0.001834229
76,回复@梁山屯头:党员不是来自于人民吗？而且是人民中比较优秀的//回复@石市男子性刚烈:毛主席教导我们：“一个不是人民选举出来的政府，有什么脸面代表这个国家？爱这样的国家，就是对祖国的背叛”。,中性,0.456257544
77,回复@东教授很忙:你的自由不就是为所欲为吗//回复@石市男子性刚烈:呵呵不保护我的自由的国家是国家？,负面,0.023779986
78,果然胡说。,中性,0.432745349
79,回复@东教授很忙:滚去你的美国卖菊花乖儿子//回复@石市男子性刚烈:呵呵不保护我的自由的国家是国家？,负面,0.002639354
80,回复@做个好人其实不难:什么时候轮到你这个渣滓指点江山？//回复@OMG不要不要的:朝鲜人民最痛恨中国。他们明明可以在天堂生活。是谁把他们带到地狱？,负面,0.00087345
81,“我们一定会反击，我们会报复。如果有人玩厉害的，我们就和他们玩厉害的，看谁更持久。”[赞][赞][赞][加油][加油][加油],中性,0.497784502
82,转发微博,中性,0.50009488
83,老胡发视频不言语，这是学偷懒的节奏哦。,中性,0.488268543
84,回复@诸葛大司马:你这条狗快滚吧//回复@平淡创造不平凡:呵呵   还老百姓的利益   滚一边去吧,负面,0.000215925
85,回复@__kiar:去你妈B原来你就不是中国人，看你赞的美使馆图片，就知道你是美狗了，说你是狗都侮辱狗，赶紧滚回美国去吧，来我们这搞分裂你得不成的！//回复@夜猫子哥666:你就是真他妈贱畜，三姓家奴谈团结，畜生而已,负面,0.000208787
86,: 老胡，为啥不对等啊，30比500,中性,0.49927332
87,回复@Hugh47:[加油]//回复@夜猫子哥666:全球華人（不過要除了漢奸）應該團結一致。,负面,0.271750867
88,真是嗑睡来了送枕头，谢谢川普！把美国打出原形！这一战一定要达到以下目的:1、摧毁美国虚假繁荣的金融经济；2、摧毁美元垄断地位；3、动摇美国盟友体系的经济基础。,中性,0.468024305
89,回复@立达淡定:你不在国外我在国外啊，国外什么鸟样我不知道啊?搞笑//回复@阿村苦逼机械狗:我也没去过国外，听来的，不好意思。福耀的老总曹德旺在一期经济栏目里讲的，燃气，税收这些。可能他是个带路党想把我整坏吧，真不是个好东西。[允悲],负面,0.004031502
90,我都听笑了[允悲]高调应战，为了面子，低调求和，为了里子，谁怂谁小狗狗[鼓掌],中性,0.426500799
91,//@一颗巧克力2333:回顾历史没有那个朝代崛起是和平的，，贸易战比起战争要付出的代价更能让人接受。加油，我的国[中国赞],正面,0.994996877
92,回复@人不多情枉少年:游行示威罢工运动，中国是亚洲鼻祖，世界第三//回复@我一生丶在纸上:说的我差点就信了,中性,0.495161111
93,搅屎棍！旧性不改。,负面,0.003687695
94,你作为大报报人，写这种狗屁东西，真无知!误导大众。美国的制裁是600亿，我们的报复不到30亿，按你的说法，我们该出手2000亿才行，我们有的是实力。真蠢，不懂装懂。,负面,0.000245221
95,必须强硬回击，不然老狗川普会得寸进尺,中性,0.456556909
96,反击 不存在的[doge],中性,0.497611973
97,回复@硫教授:进口通用才有多少？进口的关税有多少你不知道？上汽通用制裁？知道国内有多少人吗，配套的厂家有多少？这么多人。不敢想象//搞汽车吧，别克雪佛兰福特加税,中性,0.499705037
98,祖国这么流氓，让人民真的能放心吗？人家美国也不是傻种啊，还是要按照规则办事。另外，还要闷声发大财，整天吆喝祖国强大了，这下好了，老美转治各种不服。[挖鼻],负面,0.000452123
99,"不喂""猪""了把美国的转基因大豆退回去！哼……",负面,0.033744498
100,回复@可笒:@人不多情枉少年 这狗机巴操出来的马甲，你这贱狗洋奴（搭讪后、又设置不让回复，是不是你这类二鬼子胆小鬼证据？）——:@人不多情枉少年这狗日的，你确认不是活在共D的宽容之下，才敢“匿名在网上、扯鸡巴淡”？你敢现实中去天安门扯吗？说你是个“说一套做一套的废物货、衰乌龟”，是不是//我们不怕，我们的群众觉悟高，不像美国人失业率稍微降低一点就去拖政府的后腿！,负面,0.000344663
101,打起来！打起来[吃瓜],中性,0.499765854
102,回复@人不多情枉少年:中国也可以上街游行//回复@看热闹不嫌事大的小粉红:坚固的城堡都是从内部攻破的，例如苏联。很多人都在预测中国大陆GDP低于8%，就会发生动乱！所以政府就算是造假也要维持8%！因为中国民心完全是靠经济发展这一个要素。中国跟美国民主国家不同，这些国家经济停滞，人民大幅失业，但是人民可以上街游行，发泄怒火。而中国一旦经济停滞，绝对是大暴乱。,负面,0.059088997
103,猪肉价格上涨，给我们发肉贴[喵喵],中性,0.499975994
104,回复@翠宏台湾:因为当时人民国家意识不强，今天不一样了//当年八国联军为什么凭借仅两万多人就攻克北京城?如果清政府对人民好一些也不会如此下场。,中性,0.479063706
105,我评论中国赢，他们就会骂我。 我评论美国赢，他们也会骂我。 我说我看热闹，他们还会骂我。,负面,0.022714257
106,[赞],正面,0.986537934
107,//@方向指南人类底线: 转发微博,中性,0.499642644
108,股票今开一落千丈，看来斗不过呀！,中性,0.385782693
109,回复@开国大典:实在不清楚现实中你们这些人从哪感受到的墙？//回复@石市男子性刚烈:晕，弄个墙把你圈里面，还以为你是主人,负面,0.119884351
110,老胡是爷们,中性,0.588396311
111,回复@小小在Mel:当年取蒋政权而代之怎么没人说？你今天又能代表全部老百姓？//回复@石市男子性刚烈:只剩中国人民了，中国这个国家49年之后除台澎金马以外，全部沦亡,负面,0.151881619
112,回复@诸葛大司马:U型锁是美国发明的么//回复@第一评论员001:你个小煞笔   你怎么不掏出u型锁啊   [笑cry][笑cry][笑cry],中性,0.499546732
113,一个传统农业国家对老牌工业国家发起的挑战,中性,0.500457894
114,留言这么少？打蛇打七寸，大豆，飞机，汽车才是美国的命脉。,中性,0.487021621
115,检验金子成色的时候,中性,0.500109999
116,听一听胡总编的理性分析,中性,0.499889541
117,中国不也给美国加了么,中性,0.4942448
118,一句没听懂,中性,0.429891451
119,回复@humouies:正是[鲜花][good]//回复@57楚江:田野小河边，红莓花儿开。 深夜花园里，四处静悄悄。 正当梨花开遍了天涯，河上漂着柔曼的轻纱。,中性,0.500240264
120,回复@57楚江:田野小河边，红莓花儿开。 深夜花园里，四处静悄悄。 正当梨花开遍了天涯，河上漂着柔曼的轻纱。//回复@humouies:我们这代人都有俄罗斯情节。,中性,0.500034762
121,回复@humouies:我们这代人都有俄罗斯情节。//回复@57楚江:其实话这么说，但在莫斯科还是要注意安全呀，因为我的家人曾经在莫斯科做生意，经常有听到中国人（商人）半夜被劫杀之类的事情，而且不在少数。,中性,0.374602488
122,回复@57楚江:其实话这么说，但在莫斯科还是要注意安全呀，因为我的家人曾经在莫斯科做生意，经常有听到中国人（商人）半夜被劫杀之类的事情，而且不在少数。//回复@humouies:去俄罗斯旅游前，女儿给我买了本介绍俄罗斯的书，书上说俄警察凶，大多不会英语，俄治安不好，女孩穿着暴露等等。可事实是警察彬彬有礼，莫斯科郊外成千上万栋别墅，没看见装防盗门窗的，俄女孩穿着打扮比国内得体多了……,中性,0.486909609
123,回复@humouies:去俄罗斯旅游前，女儿给我买了本介绍俄罗斯的书，书上说俄警察凶，大多不会英语，俄治安不好，女孩穿着暴露等等。可事实是警察彬彬有礼，莫斯科郊外成千上万栋别墅，没看见装防盗门窗的，俄女孩穿着打扮比国内得体多了……//回复@57楚江:我们的媒体一直都说俄罗斯多好多好啊...都是正面的,中性,0.508967893
124,回复@57楚江:我们的媒体一直都说俄罗斯多好多好啊...都是正面的//回复@亚太地区扛把子:去过俄罗斯的人就知道俄罗斯有多好，并不是我们的媒体宣传的那样不堪——就衣食住行教育医疗而言，比我们好很多。,中性,0.524664905
125,你看你流氓的样子，,负面,0.000568987
126,说得好,中性,0.650561422
127,@胡锡进  老胡，这次不完全同意你的观点。我觉得普金接下来六年最大的挑战是选好接班人，构建好接班的梯次、团队、遴选和培养机制，以保障俄罗斯的国家战略和国策的可持续性，确保它们不会因为一个普金式强人的离开而改变或终结。,中性,0.499936901
128,一个软弱的俄罗斯才符合中国利益。这厮的观点暴露了是一个汉奸，潜伏在中国的俄罗斯第五纵队。,负面,0.001254054
129,反美亲俄如此明显，俄国有送每年3000亿美元顺差？,中性,0.426603263
130,老胡  你他娘的俄语还真不错！,正面,0.852176473
131,永远搞不上吉,中性,0.470701643
132,俄罗斯语都会[微笑],中性,0.500267466
133,毛子蛮族的列巴列巴口音也能被胡大爷说的跟诗朗诵一样[笑cry][笑cry][笑cry],中性,0.503018754
134,上次看了局座的分析，俄罗斯其实经济命脉在美国手里，美国叫你涨就涨，叫你跌就跌,中性,0.498684277
135,普京 要想干的长  经济多多向中国靠拢   中俄互补很大,中性,0.500804655
136,老胡真厉害,正面,0.999307518
137,嗯，明白你的潜台词了,中性,0.499842354
138,胡编你错到天了，我支持普京是因为普京会带着俄罗斯一天天的落后！,中性,0.433595772
139,怎么国内对俄罗斯，还有普京的宣传都是正面的,中性,0.502715806
140,俄罗斯强大比美国强大更可怕！一个离中国那么远的国家对中国还有这么大的牵制力！更何况家门口的熊瞎子真强大了 中国有的好？,中性,0.325271693
141,别膜了，小心反衬黑,中性,0.469106944
142,回复@反射弧已麻木:鹅精[允悲][允悲][允悲][允悲]//精俄,中性,0.493145407
143,回复@vijkfyq:霸气[good][good][good][good]//回复@f4ng012:不看就滚啊，你听不懂不代表所有人都听不懂,中性,0.453975752
144,粉丝里真多脑残。,负面,0.000262951
145,回复@美分才是真爱国:请了解一下现代的国际政治。按你的说法蒙古是不是不能独立了，越南和朝鲜都得认同我们的宗主国地位。//回复@孤萱能自拔:说得对，此生最恨俄罗斯，俄罗斯使中国丧失了300多万平方公里土地，外东北库页岛至今未归还,中性,0.44291418
146,回复@Moment冬东:顶。不过我觉得公知没什么错。//回复@冰冰和黑牛分手了:什么时候中国没有公知粉了 中国就真正强大了,中性,0.512931678
147,国际原油价格达到了60美元一桶这给俄罗斯经济恢复有一定的帮助！,中性,0.501643808
148,回复@深深蛋蛋:莫名想到文在寅//普京估计想的是 余生怎么能寿终正寝，怕自己这十几年干的脏事又人来清算。,负面,0.03518746
149,帮人家穷操心，咱自己的难关还不知道咋过呢！,负面,0.00084499
150,回复@深深蛋蛋:有所指//普京估计想的是 余生怎么能寿终正寝，怕自己这十几年干的脏事又人来清算。,负面,0.042591922
151,精俄,中性,0.500774716
152,回复@冰冰和黑牛分手了:上行下效，上面在媒体面前一口一个“创造了奇迹”，下面能不跟着唱赞歌么//什么时候官媒不意淫了，中国就真正强大了,中性,0.527126431
153,回复@f4ng012:对，说普通话。//一个只有中国人看的视频用俄语播出有意义吗,中性,0.500084503
154,好,正面,0.78295885
155,[good],中性,0.518302083
156,回复@冰冰和黑牛分手了:什么时候中国没有公知粉了 中国就真正强大了//什么时候官媒不意淫了，中国就真正强大了,正面,0.894109525
157,回复@天赐宝贝航:就怕关羽围攻樊城时，孙权和曹操讲和，曹军樊城出兵，孙权偷袭荆州。//回复@孤萱能自拔:现在是联吴抗曹，所以老胡要拍,中性,0.499231382
158,回复@f4ng012:不看就滚啊，你听不懂不代表所有人都听不懂//一个只有中国人看的视频用俄语播出有意义吗,中性,0.49391295
159,克里米亚呢，就这样被吞并啊,中性,0.47277302
160,再给普京20年，俄罗斯经济也是这点熊样！,负面,0.240618467
161,为何普京支持率不到八成,中性,0.498260146
162,俄罗斯好不好跟鸡吧你有什么关系,负面,0.016541387
163,俄罗斯经济强大了，中国就要吃亏！应该趁现在，所有问题一起解决，解放军不是吃素的,中性,0.521023918
164,普京要继续统治俄罗斯，只要有能源卖，然后到处惹事，怼欧怼美，打造强硬的国家利益捍卫者形象就够了，发展经济有啥用，俄罗斯人就吃这套，要创造摩擦展现强硬就够了，再不行把对手关起来就是了[哈哈],负面,0.034651269
165,回复@深深蛋蛋:所有的恶棍都怕清算，所以要掌控权力到死//普京估计想的是 余生怎么能寿终正寝，怕自己这十几年干的脏事又人来清算。,负面,0.005796307
166,普京这样的人活在世上，就是对哦罗斯的侮辱，他的厨子都是大富豪了，俄罗斯也是是靠卖祖宗家业苟延残喘，卖完了普京也挂了[哈哈],负面,0.027619516
167,可能吗？,中性,0.499501211
168,去过几次俄罗斯 那边是真萧条,负面,0.193739703
169,能搞上去的话，早搞上去了。再给 60年我看也难。,中性,0.496852399
170,还不是我们喝了俄罗斯很多血，送了很多钱,中性,0.499564634
171,回复@冰冰和黑牛分手了:和国人说怎么鸟语，叽哩嘎啦的[二哈][二哈][二哈][二哈][笑cry][笑cry][笑cry]//什么时候官媒不意淫了，中国就真正强大了,中性,0.567183867
172,回复@57楚江:得了吧，俄罗斯最近十年都得靠变卖资源维持经济～～～//回复@亚太地区扛把子:去过俄罗斯的人就知道俄罗斯有多好，并不是我们的媒体宣传的那样不堪——就衣食住行教育医疗而言，比我们好很多。,中性,0.503161034
173,西方我认为可能在普京最后一个任期，帮他一把。普京自己也处处对西方示好了。认普京赢得生前身后名。,中性,0.503323624
174,又给美国支招呢。唯恐美国看不透普京的弱项。,中性,0.485718829
175,请俄罗斯归还唐努乌梁海，外东北，库页岛，巴尔喀什湖以东以南,中性,0.498206506
176,老胡你是不是老胃病啊,负面,0.166204185
177,老胡俄语666[good],中性,0.500346291
178,从脸部扭曲的表情可以判断胃溃疡已经很严重了，不能再拖了。,中性,0.49181221
179,回复@f4ng012:这个视频也会发布到俄语社交网站//一个只有中国人看的视频用俄语播出有意义吗,中性,0.499616467
180,其实我只注意到那个假发吗,中性,0.499329631
181,俄罗斯强大了对中国有什么好的？忘了当年被苏联武装威胁吓的深挖洞广积粮了？,中性,0.46599187
182,精俄真是太可怕了,负面,0.000613182
183,搞了这么多年，曾经能源价格那个高，又没有人制裁，都没有搞上去，现在还能搞上去么？普京的路线？普京路线有明确可行的措施搞经济么？目前这个情形，西方会让他搞上去么？。。。说着痴人说梦的话。,负面,0.15732589
184,在民生方面，俄罗斯已经做的很不错了。,正面,0.911022924
185,俄罗斯只有真正对中国开放，经济才能搞上去。,中性,0.50505536
186,最简单有效的是宣誓加入中国，背靠中国这个大树，经济自然就上去了,中性,0.512846876
187,老壶水泡茶，味道还是深澈清！,中性,0.500339244
188,俄罗斯只要放开住房商品化，医疗市场化，教育高收费化，把给老百姓的五免全部改革掉，计入到GDP里去，然后风景区也如同中国一样收高价门票，经济也是很快就上去了，,中性,0.500142242
189,希望俄罗斯能挺住。,中性,0.498197354
190,回复@亚太地区扛把子:你别可怜俄罗斯了，人家比你过得好。可怜可怜你自己吧。//俄罗斯也是可怜，就靠核武器撑着了,负面,0.020106021
191,回复@思想者歌:老胡没经济头脑，经济盘他叼不准！[二哈]//请问胡编，你的大豆反制咋没在清单里？,中性,0.355245747
192,中俄联合,中性,0.503651621
193,暗示得对![哈哈]要凝聚人心，大选期间意见肯定不统一，还要稳定金融。[酷],中性,0.499151328
194,这是变相给那位拍马屁,负面,0.000918079
195,然后普京就可以終—-身——-制？,中性,0.498980757
